id,employee_id,teachos_user_id,full_name,org_email,mobile,date_of_joining,department,sub_department,designation,direct_manager,work_location,workspace,gender,current_state,current_city,darwin_employee_status,in_darwin,in_teachos,teachos_role,teachos_category,teachos_manager,institutes,computed_status,manual_status,exit_date,converted_university_name,notes,classification,classification_reason,exit_flag,exit_flag_status,exit_flag_date,in_darwin_full_roster,dept_bucket,dept_area,deployment_status,payroll_candidate_matched,payroll_candidate_note
8,NW0007267,t-08,Rahul Khanna,rahulkhanna@edtech.example,,2026-03-14,Instructors,University Programs,Instructor,,,,,,,Active,t,f,,,,{},active,,2026-08-08,,,,,f,,,f,,,,f,
19,,t-19,Lakshmi Narayanan,lakshminarayanan@edtech.example,,,Instructors,University Programs,Senior Instructor,,,,,,,,f,f,,,,{},needs_review,converted_university,,Sathyabama Institute,Requires reconciliation,,,f,,,f,,,,f,
22,NW0007252,,Aman Chawla,amanchawla@edtech.example,,2025-04-02,Instructors,Career Services,Career Coach,,,,,,,,f,f,,,,{},needs_review,exited,2026-08-08,,Requires reconciliation,,,f,,,f,,,,f,
20,,t-20,Kabir Singh,kabirsingh@edtech.example,,,Instructors,University Programs,Instructor,,,,,,,,f,f,,,,{},needs_review,converted_university,,Chandigarh University,Requires reconciliation,,,f,,,f,,,,f,
2,NW0007261,t-02,Arjun Rao,arjunrao@edtech.example,,2026-08-13,Instructors,Academic Delivery,Instructor,,,,,,,Active,t,f,,,,{},active,,2026-08-08,,,,,f,,,f,,,,f,
9,NW0007268,t-09,Divya Iyer,divyaiyer@edtech.example,,2026-01-28,Instructors,Academic Delivery,Senior Instructor,,,,,,,Active,t,f,,,,{},active,,2026-08-08,,,,,f,,,f,,,,f,
14,NW0007273,,Nandini Rao,nandinirao@edtech.example,,2026-08-09,Instructors,University Programs,Instructor,,,,,,,Active,t,f,,,,{},active,,2026-08-08,,,,,f,,,f,,,,f,
18,,t-18,Faizan Ahmed,faizanahmed@edtech.example,,,Instructors,Academic Delivery,Instructor,,,,,,,,f,f,,,,{},needs_review,,,,,,,f,,,f,,,,f,
10,NW0007269,t-10,Siddharth Jain,siddharthjain@edtech.example,,2025-12-28,Instructors,Academic Delivery,Instructor,,,,,,,Active,t,f,,,,{},active,,2026-08-08,,,,,f,,,f,,,,f,
21,NW0007251,t-21,Pooja Bhat,poojabhat@edtech.example,,2025-06-10,Instructors,Academic Delivery,Instructor,,,,,,,,f,f,,,,{},needs_review,exited,2026-08-08,,Requires reconciliation,,,f,,,f,,,,f,
13,NW0007272,,Ritesh Malhotra,riteshmalhotra@edtech.example,,2026-08-04,Instructors,Academic Delivery,Instructor,,,,,,,Active,t,f,,,,{},active,,2026-08-08,,,,,f,,,f,,,,f,
42,,e634b8ec89b74e1689b9a8035baf9686,Ponneboina vamshi,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
